Time,Toy_Switch,Child_EG,Parent_EG
00:06.2,Toy Switch Present,,
00:06.2,Toy Switch Present,,
00:06.3,Toy Switch Present,,
00:06.3,Toy Switch Present,,
00:06.3,Toy Switch Present,,
00:06.4,Toy Switch Present,,
00:06.4,Toy Switch Present,,
00:06.4,Toy Switch Present,,
00:06.5,Toy Switch Present,,
00:06.5,Toy Switch Present,,
00:06.5,Toy Switch Present,,
00:06.6,Toy Switch Present,,
00:06.6,Toy Switch Present,,
00:06.6,Toy Switch Present,,
00:06.7,Toy Switch Present,,
00:06.7,Toy Switch Present,,
00:06.7,Toy Switch Present,,
00:06.8,Toy Switch Present,,
00:06.8,Toy Switch Present,,
00:06.8,Toy Switch Present,,
00:06.9,Toy Switch Present,,
00:06.9,Toy Switch Present,,
00:06.9,Toy Switch Present,,
00:07.0,Toy Switch Present,,
00:07.0,Toy Switch Present,,
00:07.0,Toy Switch Present,,
00:07.1,Toy Switch Present,,
00:07.1,Toy Switch Present,,
00:07.1,Toy Switch Present,,
00:07.2,Toy Switch Present,,
00:07.2,Toy Switch Present,,
00:07.2,Toy Switch Present,,
00:07.3,Toy Switch Present,,
00:07.3,Toy Switch Present,,
00:07.3,Toy Switch Present,,
00:07.4,Toy Switch Present,,
00:07.4,Toy Switch Present,,
00:07.4,Toy Switch Present,,
00:07.5,Toy Switch Present,,
00:07.5,Toy Switch Present,,
00:07.5,Toy Switch Present,,
00:07.6,Toy Switch Present,,
00:07.6,Toy Switch Present,,
00:07.6,Toy Switch Present,,
00:07.7,Toy Switch Present,,
00:07.7,Toy Switch Present,,
00:07.7,Toy Switch Present,,
00:07.8,Toy Switch Present,,
00:07.8,Toy Switch Present,,
00:07.8,Toy Switch Present,,
00:07.9,Toy Switch Present,,
00:07.9,Toy Switch Present,,
00:07.9,Toy Switch Present,,
00:08.0,Toy Switch Present,,
00:08.0,Toy Switch Present,,
00:08.0,Toy Switch Present,,
00:08.1,Toy Switch Present,,
00:08.1,Toy Switch Present,,
00:08.1,Toy Switch Present,,
00:08.2,Toy Switch Present,,
00:08.2,Toy Switch Present,,
00:08.2,Toy Switch Present,,
00:08.3,Toy Switch Present,,
00:08.3,Toy Switch Present,,
00:08.3,Toy Switch Present,,
00:08.4,Toy Switch Present,,
00:08.4,Toy Switch Present,,
00:08.4,Toy Switch Present,,
00:08.5,Toy Switch Present,,
00:08.5,Toy Switch Present,,
00:08.5,Toy Switch Present,,
00:08.6,Toy Switch Present,,
00:08.6,Toy Switch Present,,
00:08.6,Toy Switch Present,,
00:08.7,Toy Switch Present,,
00:08.7,Toy Switch Present,,
00:08.7,Toy Switch Present,,
00:08.8,Toy Switch Present,,
00:08.8,Toy Switch Present,,
00:08.8,Toy Switch Present,,
00:08.9,Toy Switch Present,,
00:08.9,Toy Switch Present,,
00:08.9,Toy Switch Present,,
00:09.0,Toy Switch Present,,
00:09.0,Toy Switch Present,,
00:09.0,Toy Switch Present,,
00:09.1,Toy Switch Present,,
00:09.1,Toy Switch Present,,
00:09.1,Toy Switch Present,,
00:09.2,Toy Switch Present,,
00:09.2,Toy Switch Present,,
00:09.2,Toy Switch Present,,
00:09.3,Toy Switch Present,,
00:09.3,Toy Switch Present,,
00:09.3,Toy Switch Present,,
00:09.4,Toy Switch Present,,
00:09.4,Toy Switch Present,,
00:09.4,Toy Switch Present,,
00:09.5,Toy Switch Present,,
00:09.5,Toy Switch Present,,
00:09.5,Toy Switch Present,,
00:09.6,Toy Switch Present,,
00:09.6,Toy Switch Present,,
00:09.6,Toy Switch Present,,
00:09.7,Toy Switch Present,,
00:09.7,Toy Switch Present,,
00:09.7,Toy Switch Present,,
00:09.8,Toy Switch Present,,
00:09.8,Toy Switch Present,,
00:09.8,Toy Switch Present,,
00:09.9,Toy Switch Present,,
00:09.9,Toy Switch Present,,
00:09.9,Toy Switch Present,,
00:10.0,Toy Switch Present,,
00:10.0,Toy Switch Present,,
00:10.0,Toy Switch Present,,
00:10.1,Toy Switch Present,,
00:10.1,Toy Switch Present,,
00:10.1,Toy Switch Present,,
00:10.2,Toy Switch Present,,
00:10.2,Toy Switch Present,,
00:10.2,Toy Switch Present,,
00:10.3,Toy Switch Present,,
00:10.3,Toy Switch Present,,
00:10.3,Toy Switch Present,,
00:10.4,Toy Switch Present,,
00:10.4,Toy Switch Present,,
00:10.4,Toy Switch Present,,
00:10.5,Toy Switch Present,,
00:10.5,Toy Switch Present,,
00:10.5,Toy Switch Present,,
00:10.6,Toy Switch Present,,
00:10.6,Toy Switch Present,,
00:10.6,Toy Switch Present,,
00:10.7,Toy Switch Present,,
00:10.7,Toy Switch Present,,
00:10.7,Toy Switch Present,,
00:10.8,Toy Switch Present,,
00:10.8,Toy Switch Present,,
00:10.8,Toy Switch Present,,
00:10.9,Toy Switch Present,,
00:10.9,Toy Switch Present,,
00:10.9,Toy Switch Present,,
00:11.0,Toy Switch Present,,
00:11.0,Toy Switch Present,,
00:11.0,Toy Switch Present,,
00:11.1,Toy Switch Present,,
00:11.1,Toy Switch Present,,
00:11.1,Toy Switch Present,,
00:11.2,Toy Switch Present,,
00:11.2,Toy Switch Present,,
00:11.2,Toy Switch Present,,
00:11.3,Toy Switch Present,,
00:11.3,Toy Switch Present,,
00:11.3,Toy Switch Present,,
00:11.4,Toy Switch Present,,
00:11.4,Toy Switch Present,,
00:11.4,Toy Switch Present,,
00:11.5,Toy Switch Present,,
00:11.5,Toy Switch Present,,
00:11.5,Toy Switch Present,,
00:11.6,Toy Switch Present,,
00:11.6,Toy Switch Present,,
00:11.6,Toy Switch Present,,
00:11.7,Toy Switch Present,,
00:11.7,Toy Switch Present,,
00:11.7,Toy Switch Present,,
00:11.8,Toy Switch Present,,
00:11.8,Toy Switch Present,,
00:11.8,Toy Switch Present,,
00:11.9,Toy Switch Present,,
00:11.9,Toy Switch Present,,
00:11.9,Toy Switch Present,,
00:12.0,Toy Switch Present,,
00:12.0,Toy Switch Present,,
00:12.0,Toy Switch Present,,
00:12.1,Toy Switch Present,,
00:12.1,Toy Switch Present,,
00:12.1,Toy Switch Present,,
00:12.2,Toy Switch Present,,
00:12.2,Toy Switch Present,,
00:12.2,Toy Switch Present,,
00:12.3,Toy Switch Present,,
00:12.3,Toy Switch Present,,
00:12.3,Toy Switch Present,,
00:12.4,Toy Switch Present,,
00:12.4,Toy Switch Present,,
00:12.4,Toy Switch Present,,
00:12.5,Toy Switch Present,,
00:12.5,Toy Switch Present,,
00:12.5,Toy Switch Present,,
00:12.6,Toy Switch Present,,
00:12.6,Toy Switch Present,,
00:12.6,Toy Switch Present,,
00:12.7,Toy Switch Present,,
00:12.7,Toy Switch Present,,
00:12.7,Toy Switch Present,,
00:12.8,Toy Switch Present,,
00:12.8,Toy Switch Present,,
00:12.8,Toy Switch Present,,
00:12.9,Toy Switch Present,,
00:12.9,Toy Switch Present,,
00:12.9,Toy Switch Present,,
00:13.0,Toy Switch Present,,
00:13.0,Toy Switch Present,,
00:13.0,Toy Switch Present,,
00:13.1,Toy Switch Present,,
00:13.1,Toy Switch Present,,
00:13.1,Toy Switch Present,,
00:13.2,Toy Switch Present,,
00:13.2,Toy Switch Present,,
00:13.2,Toy Switch Present,,
00:13.3,Toy Switch Present,,
00:13.3,Toy Switch Present,,
00:13.3,Toy Switch Present,,
00:13.4,Toy Switch Present,,
00:13.4,Toy Switch Present,,
00:13.4,Toy Switch Present,,
00:13.5,Toy Switch Present,,
00:13.5,Toy Switch Present,,
00:13.5,Toy Switch Present,,
00:13.6,Toy Switch Present,,
00:13.6,Toy Switch Present,,
00:13.6,Toy Switch Present,,
00:13.7,Toy Switch Present,,
00:13.7,Toy Switch Present,,
00:13.7,Toy Switch Present,,
00:13.8,Toy Switch Present,,
00:13.8,Toy Switch Present,,
00:13.8,Toy Switch Present,,
00:13.9,Toy Switch Present,,
00:13.9,Toy Switch Present,,
00:13.9,Toy Switch Present,,
00:14.0,Toy Switch Present,,
00:14.0,Toy Switch Present,,
00:14.0,Toy Switch Present,,
00:14.1,Toy Switch Present,,
00:14.1,Toy Switch Present,,
00:14.1,Toy Switch Present,,
00:14.2,Toy Switch Present,,
00:14.2,Toy Switch Present,,
00:14.2,Toy Switch Present,,
00:14.3,Toy Switch Present,,
00:14.3,Toy Switch Present,,
00:14.3,Toy Switch Present,,
00:14.4,Toy Switch Present,,
00:14.4,Toy Switch Present,,
00:14.4,Toy Switch Present,,
00:14.5,Toy Switch Present,,
00:14.5,Toy Switch Present,,
00:14.5,Toy Switch Present,,
00:14.6,Toy Switch Present,,
00:14.6,Toy Switch Present,,
00:14.6,Toy Switch Present,,
00:14.7,Toy Switch Present,,
00:14.7,Toy Switch Present,,
00:14.7,Toy Switch Present,,
00:14.8,Toy Switch Present,,
00:14.8,Toy Switch Present,,
00:14.8,Toy Switch Present,,
00:14.9,Toy Switch Present,,
00:14.9,Toy Switch Present,,
00:14.9,Toy Switch Present,,
