Time,Toy_Switch,Child_EG,Parent_EG
00:00.0,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Extraneous Eye Movement (9)
00:00.0,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Red Toy (3)
00:00.1,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Red Toy (3)
00:00.1,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Red Toy (3)
00:00.1,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Red Toy (3)
00:00.2,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Red Toy (3)
00:00.2,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Extraneous Eye Movement (9)
00:00.2,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.3,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.3,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.3,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.4,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.4,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.4,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.5,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.5,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.5,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.6,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.6,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.6,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.7,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.7,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.7,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.8,"Toy Switch Absent,RBG Toys Set A",EG Blue Toy (1),EG Green Toy (2)
00:00.8,"Toy Switch Absent,RBG Toys Set A",EG Extraneous Eye Movement (9),EG Green Toy (2)
00:00.8,"Toy Switch Absent,RBG Toys Set A",EG Extraneous Eye Movement (9),EG Green Toy (2)
00:00.9,"Toy Switch Absent,RBG Toys Set A",EG Extraneous Eye Movement (9),EG Green Toy (2)
00:00.9,"Toy Switch Absent,RBG Toys Set A",EG Partner's Hand (11),EG Green Toy (2)
00:00.9,"Toy Switch Absent,RBG Toys Set A",EG Partner's Hand (11),EG Green Toy (2)
00:01.0,"Toy Switch Absent,RBG Toys Set A",EG Partner's Hand (11),EG Green Toy (2)
00:01.0,"Toy Switch Absent,RBG Toys Set A",EG Partner's Hand (11),EG Green Toy (2)
00:01.0,"Toy Switch Absent,RBG Toys Set A",EG Partner's Hand (11),EG Green Toy (2)
00:01.1,"Toy Switch Absent,RBG Toys Set A",EG Partner's Hand (11),EG Green Toy (2)
00:01.1,"Toy Switch Absent,RBG Toys Set A",EG Partner's Hand (11),EG Extraneous Eye Movement (9)
00:01.1,"Toy Switch Absent,RBG Toys Set A",EG Partner's Hand (11),EG Blue Toy (1)
00:01.2,"Toy Switch Absent,RBG Toys Set A",EG Partner's Hand (11),EG Blue Toy (1)
00:01.2,"Toy Switch Absent,RBG Toys Set A",EG Extraneous Eye Movement (9),EG Blue Toy (1)
00:01.2,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.3,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.3,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.3,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.4,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.4,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.4,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.5,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.5,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.5,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.6,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.6,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.6,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.7,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.7,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.7,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.8,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.8,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.8,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.9,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.9,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:01.9,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:02.0,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:02.0,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:02.0,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:02.1,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:02.1,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:02.1,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:02.2,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:02.2,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:02.2,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:02.3,"Toy Switch Absent,RBG Toys Set A",EG Green Toy (2),EG Blue Toy (1)
00:02.3,"Toy Switch Absent,RBG Toys Set A",EG Extraneous Eye Movement (9),EG Blue Toy (1)
00:02.3,"Toy Switch Absent,RBG Toys Set A",EG Partner's Face (4),EG Blue Toy (1)
00:02.4,"Toy Switch Absent,RBG Toys Set A",EG Partner's Face (4),EG Blue Toy (1)
00:02.4,"Toy Switch Absent,RBG Toys Set A",EG Partner's Face (4),EG Blue Toy (1)
00:02.4,"Toy Switch Absent,RBG Toys Set A",EG Partner's Face (4),EG Blue Toy (1)
00:02.5,"Toy Switch Absent,RBG Toys Set A",EG Partner's Face (4),EG Blue Toy (1)
00:02.5,"Toy Switch Absent,RBG Toys Set A",EG Partner's Face (4),EG Blue Toy (1)
00:02.5,"Toy Switch Absent,RBG Toys Set A",EG Partner's Face (4),EG Blue Toy (1)
